Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flow Register Login,,,,2023-05-07 19:31:02,2023-05-07 19:33:38,2m - 36.035s,FAILED
,,,,,,,
Test Cases/Android/Register/Register Success,,,,2023-05-07 19:31:02,2023-05-07 19:31:43,40.375s,PASSED
Common.setGVariable(),,,,2023-05-07 19:31:03,2023-05-07 19:31:03,0.254s,PASSED
Common.startApp(),,,,2023-05-07 19:31:03,2023-05-07 19:31:14,11.278s,PASSED
"comment(""Case : Register Success"")",,,,2023-05-07 19:31:14,2023-05-07 19:31:14,0.023s,PASSED
"comment(""Step : Tap link to page register"")",,,,2023-05-07 19:31:14,2023-05-07 19:31:14,0.002s,PASSED
"tap(findTestObject(""Object Repository/Android/Login/TextView - Register""), 0)",,,,2023-05-07 19:31:14,2023-05-07 19:31:15,0.700s,PASSED
"comment(""Step : Tap field Name and set value"")",,,,2023-05-07 19:31:15,2023-05-07 19:31:15,0.004s,PASSED
register.setName(G_name),,,,2023-05-07 19:31:15,2023-05-07 19:31:19,4.222s,PASSED
"comment(""Step : Tap field Email and set value"")",,,,2023-05-07 19:31:19,2023-05-07 19:31:19,0.003s,PASSED
register.setEmail(G_email),,,,2023-05-07 19:31:19,2023-05-07 19:31:22,3.134s,PASSED
"comment(""Step : Tap field Password and set value"")",,,,2023-05-07 19:31:22,2023-05-07 19:31:22,0.002s,PASSED
register.setPassword(G_password),,,,2023-05-07 19:31:22,2023-05-07 19:31:28,5.208s,PASSED
"comment(""Step : Tap field Confirm Password and set value"")",,,,2023-05-07 19:31:28,2023-05-07 19:31:28,0.002s,PASSED
register.setConfirmPassword(G_password),,,,2023-05-07 19:31:28,2023-05-07 19:31:33,5.679s,PASSED
"comment(""Step : Tap button Register to confirm"")",,,,2023-05-07 19:31:33,2023-05-07 19:31:33,0.002s,PASSED
register.tapButtonRegister(),,,,2023-05-07 19:31:33,2023-05-07 19:31:34,0.242s,PASSED
"comment(""Step : Check toast confirm registration failed - email already exists"")",,,,2023-05-07 19:31:34,2023-05-07 19:31:34,0.003s,PASSED
register.checkToastStatus(),,,,2023-05-07 19:31:34,2023-05-07 19:31:43,9.167s,PASSED
"comment(""Step : Check toast confirm registration successful"")",,,,2023-05-07 19:31:43,2023-05-07 19:31:43,0.002s,PASSED
register.checkToastRegisterSuccess(),,,,2023-05-07 19:31:43,2023-05-07 19:31:43,0.117s,PASSED
,,,,,,,
Test Cases/Android/Register/Register Failed,,,,2023-05-07 19:31:43,2023-05-07 19:32:54,1m - 10.621s,PASSED
Common.startApp(),,,,2023-05-07 19:31:43,2023-05-07 19:31:53,9.353s,PASSED
"comment(""Step : Tap link to page register"")",,,,2023-05-07 19:31:53,2023-05-07 19:31:53,0.003s,PASSED
"tap(findTestObject(""Object Repository/Android/Login/TextView - Register""), 0)",,,,2023-05-07 19:31:53,2023-05-07 19:31:53,0.594s,PASSED
"comment(""Case : Field Name empty"")",,,,2023-05-07 19:31:53,2023-05-07 19:31:53,0.003s,PASSED
"register.setName("""")",,,,2023-05-07 19:31:53,2023-05-07 19:31:57,3.975s,PASSED
register.tapButtonRegister(),,,,2023-05-07 19:31:57,2023-05-07 19:31:58,0.801s,PASSED
register.verifyFieldName(),,,,2023-05-07 19:31:58,2023-05-07 19:31:58,0.113s,PASSED
"comment(""Case : Field Email empty"")",,,,2023-05-07 19:31:58,2023-05-07 19:31:58,0.002s,PASSED
register.setName(G_name),,,,2023-05-07 19:31:58,2023-05-07 19:32:01,3.283s,PASSED
"register.setEmail("""")",,,,2023-05-07 19:32:01,2023-05-07 19:32:05,3.442s,PASSED
register.tapButtonRegister(),,,,2023-05-07 19:32:05,2023-05-07 19:32:06,0.782s,PASSED
register.verifyFieldEmail(),,,,2023-05-07 19:32:06,2023-05-07 19:32:06,0.130s,PASSED
"comment(""Case : Field Password empty"")",,,,2023-05-07 19:32:06,2023-05-07 19:32:06,0.002s,PASSED
register.setName(G_name),,,,2023-05-07 19:32:06,2023-05-07 19:32:09,3.336s,PASSED
register.setEmail(G_email),,,,2023-05-07 19:32:09,2023-05-07 19:32:12,3.457s,PASSED
"register.setPassword("""")",,,,2023-05-07 19:32:12,2023-05-07 19:32:18,5.208s,PASSED
