Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flow Register Login,,,,2023-05-07 19:18:50,2023-05-07 19:21:22,2m - 32.047s,FAILED
,,,,,,,
Test Cases/Android/Register/Register Success,,,,2023-05-07 19:18:51,2023-05-07 19:19:27,35.897s,PASSED
Common.setGVariable(),,,,2023-05-07 19:18:51,2023-05-07 19:18:51,0.174s,PASSED
Common.startApp(),,,,2023-05-07 19:18:51,2023-05-07 19:19:07,15.321s,PASSED
"comment(""Case : Register Success"")",,,,2023-05-07 19:19:07,2023-05-07 19:19:07,0.035s,PASSED
"comment(""Step : Tap link to page register"")",,,,2023-05-07 19:19:07,2023-05-07 19:19:07,0.004s,PASSED
"tap(findTestObject(""Object Repository/Android/Login/TextView - Register""), 0)",,,,2023-05-07 19:19:07,2023-05-07 19:19:07,0.744s,PASSED
"comment(""Step : Tap field Name and set value"")",,,,2023-05-07 19:19:07,2023-05-07 19:19:07,0.003s,PASSED
register.setName(G_name),,,,2023-05-07 19:19:07,2023-05-07 19:19:11,4.052s,PASSED
"comment(""Step : Tap field Email and set value"")",,,,2023-05-07 19:19:11,2023-05-07 19:19:11,0.002s,PASSED
register.setEmail(G_email),,,,2023-05-07 19:19:11,2023-05-07 19:19:15,3.166s,PASSED
"comment(""Step : Tap field Password and set value"")",,,,2023-05-07 19:19:15,2023-05-07 19:19:15,0.003s,PASSED
register.setPassword(G_password),,,,2023-05-07 19:19:15,2023-05-07 19:19:20,5.090s,PASSED
"comment(""Step : Tap field Confirm Password and set value"")",,,,2023-05-07 19:19:20,2023-05-07 19:19:20,0.001s,PASSED
register.setConfirmPassword(G_password),,,,2023-05-07 19:19:20,2023-05-07 19:19:25,5.257s,PASSED
"comment(""Step : Tap button Register to confirm"")",,,,2023-05-07 19:19:25,2023-05-07 19:19:25,0.002s,PASSED
register.tapButtonRegister(),,,,2023-05-07 19:19:25,2023-05-07 19:19:25,0.275s,PASSED
"comment(""Step : Check toast confirm registration failed - email already exists"")",,,,2023-05-07 19:19:25,2023-05-07 19:19:25,0.002s,PASSED
register.checkToastStatus(),,,,2023-05-07 19:19:25,2023-05-07 19:19:27,1.303s,PASSED
"comment(""Step : Check toast confirm registration successful"")",,,,2023-05-07 19:19:27,2023-05-07 19:19:27,0.002s,PASSED
register.checkToastRegisterSuccess(),,,,2023-05-07 19:19:27,2023-05-07 19:19:27,0.119s,PASSED
,,,,,,,
Test Cases/Android/Register/Register Failed,,,,2023-05-07 19:19:27,2023-05-07 19:20:38,1m - 11.143s,FAILED
Common.startApp(),,,,2023-05-07 19:19:27,2023-05-07 19:19:36,9.442s,PASSED
"comment(""Step : Tap link to page register"")",,,,2023-05-07 19:19:36,2023-05-07 19:19:36,0.002s,PASSED
"tap(findTestObject(""Object Repository/Android/Login/TextView - Register""), 0)",,,,2023-05-07 19:19:36,2023-05-07 19:19:37,0.344s,PASSED
